dt,num_mentions
"2010-10-3","8"
"2017-7-3","96"
"2016-9-10","50"
"2017-12-2","66"
"2010-4-9","17"
"2014-12-23","60"
"2019-3-14","143"
"2019-2-6","137"
"2009-8-17","10"
"2018-6-17","74"
"2014-10-2","49"
"2014-3-14","72"
"2018-12-28","107"
"2010-11-5","19"
"2014-7-17","63"
"2012-9-13","42"
"2009-3-18","4"
"2018-4-21","76"
"2011-7-1","14"
"2018-11-18","101"
"2014-10-9","80"
"2010-11-6","15"
"2012-6-15","42"
"2014-3-23","62"
"2014-6-27","70"
"2010-12-30","12"
"2017-2-7","125"
"2018-4-12","132"
"2018-4-22","64"
"2017-8-31","109"
"2010-4-17","8"
"2014-9-9","70"
"2014-4-4","85"
"2015-4-8","92"
"2009-6-12","5"
"2019-5-12","69"
"2011-3-20","11"
"2009-4-21","6"
"2016-12-26","54"
"2011-11-11","23"
"2016-8-19","81"
"2009-12-27","9"
"2011-7-26","36"
"2017-10-2","88"
"2018-10-22","112"
"2016-2-11","111"
"2017-2-12","57"
"2012-9-21","44"
"2018-5-5","81"
"2016-6-21","86"
"2015-1-16","65"
"2012-3-29","46"
"2015-2-11","88"
"2015-1-9","49"
"2014-8-8","72"
"2019-6-23","49"
"2011-3-15","37"
"2010-9-2","10"
"2010-10-31","13"
"2010-12-25","5"
"2008-10-8","2"
"2010-6-22","27"
"2009-9-6","2"
"2018-6-16","58"
"2012-10-16","45"
"2012-6-29","41"
"2015-12-26","40"
"2014-1-19","55"
"2015-4-23","82"
"2014-7-28","70"
"2019-1-28","146"
"2008-12-24","1"
"2019-6-30","63"
"2016-9-22","108"
"2012-9-27","46"
"2014-12-10","65"
"2017-5-24","109"
"2012-9-4","43"
"2016-4-16","49"
"2014-4-18","72"
"2009-3-15","5"
"2012-10-26","39"
"2017-10-30","115"
"2010-12-18","1"
"2010-3-19","8"
"2010-1-26","8"
"2010-7-28","31"
"2015-4-24","78"
"2013-9-24","76"
"2014-3-15","65"
"2019-4-17","138"
"2009-7-19","7"
"2009-7-20","6"
"2018-1-26","104"
"2019-2-8","106"
"2012-12-8","26"
"2015-3-14","49"
"2013-1-12","31"
"2016-7-1","84"
"2010-6-1","19"
"2013-8-1","63"
"2018-9-30","76"
"2017-7-11","124"
"2018-4-17","124"
"2017-12-7","111"
"2010-7-30","19"
"2016-12-20","104"
"2011-2-20","14"
"2013-4-1","57"
"2014-8-28","54"
"2012-3-23","25"
"2016-9-11","53"
"2017-1-16","88"
"2008-9-15","4"
"2010-10-7","29"
"2008-10-22","5"
"2018-8-28","130"
"2010-5-4","16"
"2009-11-15","4"
"2010-7-20","21"
"2018-1-28","69"
"2010-12-23","13"
"2014-9-29","55"
"2009-2-15","7"
"2018-12-16","66"
"2012-8-17","32"
"2019-3-27","142"
"2015-1-15","63"
"2018-6-21","144"
"2008-10-23","3"
"2011-8-6","10"
"2016-1-24","64"
"2012-2-7","39"
"2015-3-1","52"
"2016-9-17","46"
"2013-12-13","72"
"2013-1-21","49"
"2009-5-20","9"
"2010-4-19","13"
"2017-9-1","93"
"2016-7-8","86"
"2009-12-6","3"
"2013-8-8","68"
"2019-7-14","64"
"2019-3-4","145"
"2018-5-22","134"
"2017-1-9","64"
"2011-2-28","30"
"2009-10-23","8"
"2015-2-9","97"
"2012-6-22","37"
"2018-7-31","132"
"2016-6-29","101"
"2018-7-11","101"
"2015-2-18","77"
"2015-12-24","55"
"2016-8-17","108"
"2016-10-8","58"
"2019-5-24","124"
"2009-9-16","8"
"2013-12-26","43"
"2019-7-6","69"
"2018-3-7","123"
"2015-1-22","61"
"2009-11-5","8"
"2019-7-17","138"
"2016-10-19","93"
"2015-12-22","81"
"2015-7-7","88"
"2009-5-5","8"
"2016-8-8","87"
"2012-7-10","48"
"2018-5-17","134"
"2012-3-22","26"
"2018-6-30","40"
"2012-12-7","46"
"2019-8-23","139"
"2018-4-23","97"
"2018-8-27","122"
"2011-10-8","17"
"2017-10-20","109"
"2014-8-29","64"
"2019-2-19","114"
"2015-4-18","52"
"2014-7-7","57"
"2009-5-17","4"
"2019-1-21","114"
"2015-12-5","49"
"2010-5-5","14"
"2018-8-19","73"
"2015-2-1","50"
"2010-3-30","17"
"2017-10-23","109"
"2015-5-23","38"
"2011-9-15","25"
"2018-1-2","103"
"2015-7-13","97"
"2011-1-10","9"
"2015-3-12","81"
"2011-6-25","15"
"2010-7-21","15"
"2019-6-5","133"
"2011-11-10","31"
"2012-4-23","30"
"2012-10-14","27"
"2019-7-24","137"
"2014-6-1","40"
"2019-5-1","88"
"2010-12-7","18"
"2010-9-11","14"
"2009-10-6","7"
"2013-12-2","61"
"2010-10-30","18"
"2018-1-10","97"
"2009-10-12","12"
"2010-10-2","8"
"2010-2-4","13"
"2017-5-6","45"
"2017-7-29","56"
"2011-3-6","12"
"2014-11-3","65"
"2012-1-12","33"
"2015-1-28","82"
"2011-11-3","35"
"2012-8-14","37"
"2017-8-6","58"
"2016-2-8","78"
"2009-4-13","4"
"2009-4-19","4"
"2018-10-16","149"
"2012-6-21","41"
"2009-6-7","7"
"2019-7-7","55"
"2014-11-12","77"
"2012-3-7","38"
"2015-3-7","44"
"2009-3-16","6"
"2017-2-26","76"
"2016-4-14","112"
"2017-6-9","109"
"2010-8-14","9"
"2012-12-17","44"
"2012-11-25","29"
"2013-12-21","35"
"2014-9-14","44"
"2011-7-19","28"
"2017-11-12","93"
"2010-3-7","10"
"2009-7-18","2"
"2011-10-15","16"
"2010-2-23","14"
"2017-8-3","130"
"2018-1-9","80"
"2011-9-7","22"
"2009-11-3","8"
"2010-1-25","18"
"2016-7-28","104"
"2015-11-27","66"
"2011-8-11","37"
"2017-11-28","107"
"2013-9-13","61"
"2012-10-10","57"
"2018-3-12","109"
"2013-5-27","50"
"2014-8-26","70"
"2008-11-11","2"
"2014-3-6","94"
"2008-9-24","4"
"2015-9-24","85"
"2015-4-5","35"
"2011-6-24","20"
"2011-10-23","20"
"2010-3-26","7"
"2008-11-23","2"
"2016-5-28","47"
"2012-2-5","27"
"2017-11-9","133"
"2012-11-30","57"
"2012-10-25","58"
"2011-8-25","25"
